Link,Title,Year,Rating
https://letterboxd.com/film/goodfellas/,GoodFellas,1990,4.47
https://letterboxd.com/film/titanic-1997/,Titanic,1997,3.79
https://letterboxd.com/film/dunkirk-2017/,Dunkirk,2017,3.78
https://letterboxd.com/film/10-things-i-hate-about-you/,10 Things I Hate About You,1999,3.94
https://letterboxd.com/film/avatar/,Avatar,2009,3.51
https://letterboxd.com/film/walle/,WALL·E,2008,4.17
https://letterboxd.com/film/the-banshees-of-inisherin/,The Banshees of Inisherin,2022,4.10
https://letterboxd.com/film/nightcrawler/,Nightcrawler,2014,4.05
https://letterboxd.com/film/guardians-of-the-galaxy-vol-2/,Guardians of the Galaxy Vol. 2,2017,3.49
https://letterboxd.com/film/little-miss-sunshine/,Little Miss Sunshine,2006,4.15
https://letterboxd.com/film/the-empire-strikes-back/,The Empire Strikes Back,1980,4.40
https://letterboxd.com/film/a-quiet-place-2018/,A Quiet Place,2018,3.65
https://letterboxd.com/film/puss-in-boots-the-last-wish/,Puss in Boots: The Last Wish,2022,4.17
https://letterboxd.com/film/harry-potter-and-the-prisoner-of-azkaban/,Harry Potter and the Prisoner of Azkaban,2004,4.07
https://letterboxd.com/film/2001-a-space-odyssey/,2001: A Space Odyssey,1968,4.32
https://letterboxd.com/film/no-country-for-old-men/,No Country for Old Men,2007,4.33
https://letterboxd.com/film/it-2017/,It,2017,3.44
https://letterboxd.com/film/marriage-story-2019/,Marriage Story,2019,4.01
https://letterboxd.com/film/tenet/,Tenet,2020,3.39
https://letterboxd.com/film/good-will-hunting/,Good Will Hunting,1997,4.26
https://letterboxd.com/film/x-2022/,X,2022,3.43
https://letterboxd.com/film/guardians-of-the-galaxy-vol-3/,Guardians of the Galaxy Vol. 3,2023,4.04
https://letterboxd.com/film/doctor-strange-2016/,Doctor Strange,2016,3.43
https://letterboxd.com/film/bullet-train/,Bullet Train,2022,3.50
https://letterboxd.com/film/the-breakfast-club/,The Breakfast Club,1985,3.76
https://letterboxd.com/film/harry-potter-and-the-philosophers-stone/,Harry Potter and the Philosopher's Stone,2001,3.72
https://letterboxd.com/film/iron-man-2008/,Iron Man,2008,3.67
https://letterboxd.com/film/captain-america-civil-war/,Captain America: Civil War,2016,3.56
https://letterboxd.com/film/spider-man/,Spider-Man,2002,3.73
https://letterboxd.com/film/prisoners/,Prisoners,2013,4.27
https://letterboxd.com/film/howls-moving-castle/,Howl's Moving Castle,2004,4.29
https://letterboxd.com/film/memento/,Memento,2000,4.17
https://letterboxd.com/film/star-wars-the-force-awakens/,Star Wars: The Force Awakens,2015,3.36
https://letterboxd.com/film/the-french-dispatch/,The French Dispatch,2021,3.71
https://letterboxd.com/film/portrait-of-a-lady-on-fire/,Portrait of a Lady on Fire,2019,4.44
https://letterboxd.com/film/toy-story/,Toy Story,1995,4.13
https://letterboxd.com/film/jurassic-park/,Jurassic Park,1993,4.11
https://letterboxd.com/film/500-days-of-summer/,(500) Days of Summer,2009,3.64
https://letterboxd.com/film/a-clockwork-orange/,A Clockwork Orange,1971,4.14
https://letterboxd.com/film/the-incredibles/,The Incredibles,2004,4.07
https://letterboxd.com/film/zodiac/,Zodiac,2007,4.01
https://letterboxd.com/film/reservoir-dogs/,Reservoir Dogs,1992,4.15
https://letterboxd.com/film/aftersun/,Aftersun,2022,4.24
https://letterboxd.com/film/blade-runner/,Blade Runner,1982,4.10
https://letterboxd.com/film/the-lord-of-the-rings-the-return-of-the-king/,The Lord of the Rings: The Return of the King,2003,4.48
https://letterboxd.com/film/captain-america-the-winter-soldier/,Captain America: The Winter Soldier,2014,3.72
https://letterboxd.com/film/scream/,Scream,1996,4.01
https://letterboxd.com/film/john-wick/,John Wick,2014,3.80
https://letterboxd.com/film/the-dark-knight-rises/,The Dark Knight Rises,2012,3.70
https://letterboxd.com/film/catch-me-if-you-can-2002/,Catch Me If You Can,2002,4.02
https://letterboxd.com/film/my-neighbor-totoro/,My Neighbor Totoro,1988,4.19
https://letterboxd.com/film/finding-nemo/,Finding Nemo,2003,4.04
https://letterboxd.com/film/alien/,Alien,1979,4.29
https://letterboxd.com/film/oppenheimer-2023/,Oppenheimer,2023,4.37
https://letterboxd.com/film/thor-love-and-thunder/,Thor: Love and Thunder,2022,2.59
https://letterboxd.com/film/the-witch-2015/,The Witch,2015,3.84
https://letterboxd.com/film/mean-girls/,Mean Girls,2004,3.78
https://letterboxd.com/film/shrek/,Shrek,2001,4.02
https://letterboxd.com/film/the-lord-of-the-rings-the-two-towers/,The Lord of the Rings: The Two Towers,2002,4.37
https://letterboxd.com/film/bohemian-rhapsody/,Bohemian Rhapsody,2018,3.36
https://letterboxd.com/film/spider-man-2/,Spider-Man 2,2004,3.86
https://letterboxd.com/film/monsters-inc/,"Monsters, Inc.",2001,4.06
https://letterboxd.com/film/the-hunger-games/,The Hunger Games,2012,3.54
https://letterboxd.com/film/requiem-for-a-dream/,Requiem for a Dream,2000,4.10
https://letterboxd.com/film/barbarian-2022/,Barbarian,2022,3.54
https://letterboxd.com/film/batman-begins/,Batman Begins,2005,3.78
https://letterboxd.com/film/the-super-mario-bros-movie/,The Super Mario Bros. Movie,2023,3.33
https://letterboxd.com/film/avengers-age-of-ultron/,Avengers: Age of Ultron,2015,3.06
https://letterboxd.com/film/ex-machina-2015/,Ex Machina,2014,3.99
https://letterboxd.com/film/star-wars-the-last-jedi/,Star Wars: The Last Jedi,2017,3.03
https://letterboxd.com/film/black-widow-2021/,Black Widow,2021,2.97
https://letterboxd.com/film/shang-chi-and-the-legend-of-the-ten-rings/,Shang-Chi and the Legend of the Ten Rings,2021,3.50
https://letterboxd.com/film/lost-in-translation/,Lost in Translation,2003,3.87
https://letterboxd.com/film/the-suicide-squad/,The Suicide Squad,2021,3.54
https://letterboxd.com/film/birdman-or-the-unexpected-virtue-of-ignorance/,Birdman or (The Unexpected Virtue of Ignorance),2014,3.98
https://letterboxd.com/film/pearl-2022/,Pearl,2022,3.76
https://letterboxd.com/film/the-whale-2022/,The Whale,2022,3.65
https://letterboxd.com/film/psycho/,Psycho,1960,4.33
https://letterboxd.com/film/coraline/,Coraline,2009,4.10
https://letterboxd.com/film/captain-marvel/,Captain Marvel,2019,2.75
https://letterboxd.com/film/superbad/,Superbad,2007,3.86
https://letterboxd.com/film/harry-potter-and-the-goblet-of-fire/,Harry Potter and the Goblet of Fire,2005,3.76
https://letterboxd.com/film/return-of-the-jedi/,Return of the Jedi,1983,4.02
https://letterboxd.com/film/the-lion-king/,The Lion King,1994,4.21
https://letterboxd.com/film/harry-potter-and-the-chamber-of-secrets/,Harry Potter and the Chamber of Secrets,2002,3.55
https://letterboxd.com/film/moonrise-kingdom/,Moonrise Kingdom,2012,4.01
https://letterboxd.com/film/encanto/,Encanto,2021,3.55
https://letterboxd.com/film/there-will-be-blood/,There Will Be Blood,2007,4.45
https://letterboxd.com/film/before-sunrise/,Before Sunrise,1995,4.34
https://letterboxd.com/film/dont-worry-darling/,Don't Worry Darling,2022,2.91
https://letterboxd.com/film/the-prestige/,The Prestige,2006,4.20
https://letterboxd.com/film/the-martian/,The Martian,2015,3.72
https://letterboxd.com/film/the-shape-of-water/,The Shape of Water,2017,3.68
https://letterboxd.com/film/rogue-one-a-star-wars-story/,Rogue One: A Star Wars Story,2016,3.68
https://letterboxd.com/film/ant-man/,Ant-Man,2015,3.25
https://letterboxd.com/film/black-panther-wakanda-forever/,Black Panther: Wakanda Forever,2022,3.40
https://letterboxd.com/film/logan-2017/,Logan,2017,4.10
https://letterboxd.com/film/jaws/,Jaws,1975,3.99
https://letterboxd.com/film/amelie/,Amélie,2001,4.14
https://letterboxd.com/film/harry-potter-and-the-deathly-hallows-part-2/,Harry Potter and the Deathly Hallows: Part 2,2011,3.92
https://letterboxd.com/film/star-wars-episode-iii-revenge-of-the-sith/,Star Wars: Episode III – Revenge of the Sith,2005,3.69
https://letterboxd.com/film/home-alone/,Home Alone,1990,3.75
https://letterboxd.com/film/the-departed/,The Departed,2006,4.28
https://letterboxd.com/film/schindlers-list/,Schindler's List,1993,4.50
https://letterboxd.com/film/captain-america-the-first-avenger/,Captain America: The First Avenger,2011,3.25
https://letterboxd.com/film/split-2016/,Split,2016,3.45
https://letterboxd.com/film/blackkklansman/,BlacKkKlansman,2018,3.93
https://letterboxd.com/film/elvis-2022/,Elvis,2022,3.36
https://letterboxd.com/film/babylon-2022/,Babylon,2022,3.82
https://letterboxd.com/film/the-big-lebowski/,The Big Lebowski,1998,4.14
https://letterboxd.com/film/last-night-in-soho/,Last Night in Soho,2021,3.41
https://letterboxd.com/film/mulholland-drive/,Mulholland Drive,2001,4.25
https://letterboxd.com/film/licorice-pizza/,Licorice Pizza,2021,3.62
https://letterboxd.com/film/oldboy/,Oldboy,2003,4.39
https://letterboxd.com/film/fargo/,Fargo,1996,4.24
https://letterboxd.com/film/booksmart/,Booksmart,2019,3.76
https://letterboxd.com/film/the-revenant-2015/,The Revenant,2015,3.86
https://letterboxd.com/film/the-northman/,The Northman,2022,3.82
https://letterboxd.com/film/harry-potter-and-the-order-of-the-phoenix/,Harry Potter and the Order of the Phoenix,2007,3.61
https://letterboxd.com/film/the-devil-wears-prada/,The Devil Wears Prada,2006,3.72
https://letterboxd.com/film/the-lobster/,The Lobster,2015,3.81
https://letterboxd.com/film/leon-the-professional/,Léon: The Professional,1994,4.04
https://letterboxd.com/film/i-tonya/,"I, Tonya",2017,3.83
https://letterboxd.com/film/princess-mononoke/,Princess Mononoke,1997,4.36
https://letterboxd.com/film/star-wars-the-rise-of-skywalker/,Star Wars: The Rise of Skywalker,2019,2.40
https://letterboxd.com/film/ferris-buellers-day-off/,Ferris Bueller's Day Off,1986,3.91
https://letterboxd.com/film/turning-red/,Turning Red,2022,3.57
https://letterboxd.com/film/luca-2021/,Luca,2021,3.76
https://letterboxd.com/film/the-godfather-part-ii/,The Godfather: Part II,1974,4.59
https://letterboxd.com/film/pride-prejudice/,Pride & Prejudice,2005,4.07
https://letterboxd.com/film/american-beauty/,American Beauty,1999,3.97
https://letterboxd.com/film/the-hateful-eight/,The Hateful Eight,2015,3.91
https://letterboxd.com/film/juno/,Juno,2007,3.71
https://letterboxd.com/film/the-amazing-spider-man/,The Amazing Spider-Man,2012,3.20
https://letterboxd.com/film/kill-bill-vol-2/,Kill Bill: Vol. 2,2004,4.04
https://letterboxd.com/film/perfect-blue/,Perfect Blue,1997,4.39
https://letterboxd.com/film/raiders-of-the-lost-ark/,Raiders of the Lost Ark,1981,4.16
https://letterboxd.com/film/harry-potter-and-the-deathly-hallows-part-1/,Harry Potter and the Deathly Hallows: Part 1,2010,3.66
https://letterboxd.com/film/saving-private-ryan/,Saving Private Ryan,1998,4.22
https://letterboxd.com/film/harry-potter-and-the-half-blood-prince/,Harry Potter and the Half-Blood Prince,2009,3.62
https://letterboxd.com/film/deadpool-2/,Deadpool 2,2018,3.46
https://letterboxd.com/film/star-wars-episode-i-the-phantom-menace/,Star Wars: Episode I – The Phantom Menace,1999,2.78
https://letterboxd.com/film/clueless/,Clueless,1995,3.70
https://letterboxd.com/film/the-thing/,The Thing,1982,4.35
https://letterboxd.com/film/iron-man-3/,Iron Man 3,2013,3.00
https://letterboxd.com/film/toy-story-3/,Toy Story 3,2010,3.99
https://letterboxd.com/film/triangle-of-sadness/,Triangle of Sadness,2022,3.70
https://letterboxd.com/film/eternals/,Eternals,2021,2.80
https://letterboxd.com/film/tar-2022/,TÁR,2022,3.96
https://letterboxd.com/film/the-nightmare-before-christmas/,The Nightmare Before Christmas,1993,3.94
https://letterboxd.com/film/thor/,Thor,2011,2.77
https://letterboxd.com/film/incredibles-2/,Incredibles 2,2018,3.45
https://letterboxd.com/film/shrek-2/,Shrek 2,2004,3.96
https://letterboxd.com/film/scarface-1983/,Scarface,1983,4.09
https://letterboxd.com/film/trainspotting/,Trainspotting,1996,4.18
https://letterboxd.com/film/brokeback-mountain/,Brokeback Mountain,2005,4.09
https://letterboxd.com/film/tick-tick-boom-2021/,"tick, tick...BOOM!",2021,3.81
https://letterboxd.com/film/edward-scissorhands/,Edward Scissorhands,1990,3.85
https://letterboxd.com/film/pirates-of-the-caribbean-the-curse-of-the-black-pearl/,Pirates of the Caribbean: The Curse of the Black Pearl,2003,3.88
https://letterboxd.com/film/iron-man-2/,Iron Man 2,2010,2.83
https://letterboxd.com/film/tangled-2010/,Tangled,2010,3.86
https://letterboxd.com/film/the-great-gatsby-2013/,The Great Gatsby,2013,3.34
https://letterboxd.com/film/zootopia/,Zootopia,2016,3.69
https://letterboxd.com/film/the-florida-project/,The Florida Project,2017,4.10
